<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SPFB.RTS;0;20230428;090057;101090.000000000;1
SPFB.RTS;0;20230428;090057;101090.000000000;1
SPFB.RTS;0;20230428;090057;101090.000000000;2
SPFB.RTS;0;20230428;090057;101090.000000000;3
SPFB.RTS;0;20230428;090057;101090.000000000;5
SPFB.RTS;0;20230428;090057;101100.000000000;1
SPFB.RTS;0;20230428;090057;101100.000000000;2
SPFB.RTS;0;20230428;090057;101100.000000000;2
SPFB.RTS;0;20230428;090057;101100.000000000;5
SPFB.RTS;0;20230428;090057;101100.000000000;3
SPFB.RTS;0;20230428;090057;101100.000000000;5
SPFB.RTS;0;20230428;090057;101100.000000000;1
SPFB.RTS;0;20230428;090057;101100.000000000;2
SPFB.RTS;0;20230428;090057;101110.000000000;5
SPFB.RTS;0;20230428;090057;101110.000000000;3
SPFB.RTS;0;20230428;090057;101110.000000000;1
SPFB.RTS;0;20230428;090057;101110.000000000;2
SPFB.RTS;0;20230428;090057;101110.000000000;2
SPFB.RTS;0;20230428;090057;101110.000000000;2
SPFB.RTS;0;20230428;090057;101110.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;5
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;2
SPFB.RTS;0;20230428;090057;101120.000000000;3
SPFB.RTS;0;20230428;090057;101120.000000000;2
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;2
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;2
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;2
SPFB.RTS;0;20230428;090057;101130.000000000;10
SPFB.RTS;0;20230428;090057;101130.000000000;1
SPFB.RTS;0;20230428;090057;101130.000000000;1
SPFB.RTS;0;20230428;090057;101130.000000000;5
SPFB.RTS;0;20230428;090057;101130.000000000;1
SPFB.RTS;0;20230428;090057;101130.000000000;2
SPFB.RTS;0;20230428;090057;101130.000000000;3
SPFB.RTS;0;20230428;090057;101130.000000000;2
SPFB.RTS;0;20230428;090057;101130.000000000;126
SPFB.RTS;0;20230428;090057;101130.000000000;1
SPFB.RTS;0;20230428;090057;101130.000000000;7
SPFB.RTS;0;20230428;090057;101110.000000000;2
SPFB.RTS;0;20230428;090057;101110.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;2
SPFB.RTS;0;20230428;090057;101120.000000000;2
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;1
SPFB.RTS;0;20230428;090057;101120.000000000;1
